Subgroup,SubgroupCount,ProteinCluster
0_AAIAHK010000044_Campylobacter_jejuni,1,0_AAIAHK010000044_Campylobacter_jejuni=_weight-1.04E+2_
0_AAIAHK010000044_Campylobacter_jejuni,1,0_AAIAHK010000044_Campylobacter_jejuni=_weight-1.44E+14_
0_AAIAHK010000044_Campylobacter_jejuni,1,0_AAIAHK010000044_Campylobacter_jejuni=_weight-2.36E+6_
0_AAIAHK010000044_Campylobacter_jejuni,1,0_AAIAHK010000044_Campylobacter_jejuni=_weight-2.56E+3_
0_AAIAHK010000044_Campylobacter_jejuni,1,0_AAIAHK010000044_Campylobacter_jejuni=_weight-3.13E+2_
0_AAIAHK010000044_Campylobacter_jejuni,1,0_AAIAHK010000044_Campylobacter_jejuni=_weight-4.40E+1_
0_AAIAHK010000044_Campylobacter_jejuni,1,0_AAIAHK010000044_Campylobacter_jejuni=_weight-6.96E+0_
0_AAIAHK010000044_Campylobacter_jejuni,1,0_AAIAHK010000044_Campylobacter_jejuni=_weight-9.27E+6_
0_ADEG01000016_Prevotella_buccalis_ATCC_35310,3,0_ADEG01000016_Prevotella_buccalis_ATCC_35310=_weight-1.14E+2_
0_ADEG01000016_Prevotella_buccalis_ATCC_35310,3,0_ADEG01000016_Prevotella_buccalis_ATCC_35310=_weight-1.16E+1_
0_ADEG01000016_Prevotella_buccalis_ATCC_35310,3,0_ADEG01000016_Prevotella_buccalis_ATCC_35310=_weight-1.17E+10_
0_ADEG01000016_Prevotella_buccalis_ATCC_35310,3,0_ADEG01000016_Prevotella_buccalis_ATCC_35310=_weight-1.38E+0_
0_ADEG01000016_Prevotella_buccalis_ATCC_35310,3,0_ADEG01000016_Prevotella_buccalis_ATCC_35310=_weight-1.67E+0_
0_ADEG01000016_Prevotella_buccalis_ATCC_35310,3,0_ADEG01000016_Prevotella_buccalis_ATCC_35310=_weight-2.63E+0_
0_ADEG01000016_Prevotella_buccalis_ATCC_35310,3,0_ADEG01000016_Prevotella_buccalis_ATCC_35310=_weight-3.27E+3_
0_ADEG01000016_Prevotella_buccalis_ATCC_35310,3,0_ADEG01000016_Prevotella_buccalis_ATCC_35310=_weight-6.17E+0_
0_ADEG01000016_Prevotella_buccalis_ATCC_35310,3,0_ADEG01000016_Prevotella_buccalis_ATCC_35310=_weight-9.16E+11_
0_ADEG01000016_Prevotella_buccalis_ATCC_35310,3,0_ADEG01000016_Prevotella_buccalis_ATCC_35310=_weight-9.55E+12_
0_AWGW01000011_Prevotella_salivae_F0493,2,0_AWGW01000011_Prevotella_salivae_F0493=_weight-1.18E-1_
0_AWGW01000011_Prevotella_salivae_F0493,2,0_AWGW01000011_Prevotella_salivae_F0493=_weight-1.19E-1_
0_AWGW01000011_Prevotella_salivae_F0493,2,0_AWGW01000011_Prevotella_salivae_F0493=_weight-1.41E+14_
0_AWGW01000011_Prevotella_salivae_F0493,2,0_AWGW01000011_Prevotella_salivae_F0493=_weight-1.47E+2_
0_AWGW01000011_Prevotella_salivae_F0493,2,0_AWGW01000011_Prevotella_salivae_F0493=_weight-2.51E+8_
0_AWGW01000011_Prevotella_salivae_F0493,2,0_AWGW01000011_Prevotella_salivae_F0493=_weight-2.84E+3_
0_AWGW01000011_Prevotella_salivae_F0493,2,0_AWGW01000011_Prevotella_salivae_F0493=_weight-3.33E+3_
0_AWGW01000011_Prevotella_salivae_F0493,2,0_AWGW01000011_Prevotella_salivae_F0493=_weight-4.13E+12_
0_AWGW01000011_Prevotella_salivae_F0493,2,0_AWGW01000011_Prevotella_salivae_F0493=_weight-5.01E+1_
0_AWGW01000011_Prevotella_salivae_F0493,2,0_AWGW01000011_Prevotella_salivae_F0493=_weight-5.31E-1_
0_AWGW01000011_Prevotella_salivae_F0493,2,0_AWGW01000011_Prevotella_salivae_F0493=_weight-5.75E+0_
0_AYPZ01000002_Rhodobacter_capsulatus_YW2,9,0_AYPZ01000002_Rhodobacter_capsulatus_YW2=_weight-1.06E+0_
0_AYPZ01000002_Rhodobacter_capsulatus_YW2,9,0_AYPZ01000002_Rhodobacter_capsulatus_YW2=_weight-1.19E+1_
0_AYPZ01000002_Rhodobacter_capsulatus_YW2,9,0_AYPZ01000002_Rhodobacter_capsulatus_YW2=_weight-1.97E+0_
0_AYPZ01000002_Rhodobacter_capsulatus_YW2,9,0_AYPZ01000002_Rhodobacter_capsulatus_YW2=_weight-2.04E+2_
0_AYPZ01000002_Rhodobacter_capsulatus_YW2,9,0_AYPZ01000002_Rhodobacter_capsulatus_YW2=_weight-2.04E+7_
0_AYPZ01000002_Rhodobacter_capsulatus_YW2,9,0_AYPZ01000002_Rhodobacter_capsulatus_YW2=_weight-2.47E+0_
0_AYPZ01000002_Rhodobacter_capsulatus_YW2,9,0_AYPZ01000002_Rhodobacter_capsulatus_YW2=_weight-2.63E+1_
0_AYPZ01000002_Rhodobacter_capsulatus_YW2,9,0_AYPZ01000002_Rhodobacter_capsulatus_YW2=_weight-3.64E+0_
0_AYPZ01000002_Rhodobacter_capsulatus_YW2,9,0_AYPZ01000002_Rhodobacter_capsulatus_YW2=_weight-3.68E+0_
0_AYPZ01000002_Rhodobacter_capsulatus_YW2,9,0_AYPZ01000002_Rhodobacter_capsulatus_YW2=_weight-3.81E+5_
0_AYPZ01000002_Rhodobacter_capsulatus_YW2,9,0_AYPZ01000002_Rhodobacter_capsulatus_YW2=_weight-6.99E+0_
0_AYPZ01000002_Rhodobacter_capsulatus_YW2,9,0_AYPZ01000002_Rhodobacter_capsulatus_YW2=_weight-7.53E-1_
0_AYPZ01000002_Rhodobacter_capsulatus_YW2,9,0_AYPZ01000002_Rhodobacter_capsulatus_YW2=_weight-8.12E-2_
0_AYPZ01000002_Rhodobacter_capsulatus_YW2,9,0_AYPZ01000002_Rhodobacter_capsulatus_YW2=_weight-8.20E+2_
0_AYPZ01000005_Rhodobacter_capsulatus_YW2,26,0_AYPZ01000005_Rhodobacter_capsulatus_YW2=_weight-1.27E+2_
0_AYPZ01000005_Rhodobacter_capsulatus_YW2,26,0_AYPZ01000005_Rhodobacter_capsulatus_YW2=_weight-3.59E+6_
0_AYPZ01000005_Rhodobacter_capsulatus_YW2,26,0_AYPZ01000005_Rhodobacter_capsulatus_YW2=_weight-5.14E+10_
0_AYPZ01000005_Rhodobacter_capsulatus_YW2,26,0_AYPZ01000005_Rhodobacter_capsulatus_YW2=_weight-5.21E+2_
