"# Table S1: Curated Microvirus Genomes, plus additional Obscuriviridae",,,,,,,,,,,
Genome designation,Reported Source,Source Attribution for Analyses,GC content,Sequence Length (nt),Phylum,Class,Order,Family,Genus,Genus CRISPR prediction,CRISPR Prediction Correct?
Family1_AF454431,Unknown,Unknown,46,5577,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,
Family1_AY751298,Unknown,Unknown,46,5577,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,
Family1_Bullavirinae_NC_001420,Unknown,Unknown,46,5577,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,
Family1_GQ149088,Unknown,Unknown,45,6094,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,
Family1_GQ153923,Unknown,Unknown,46,5577,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,
Family1_KC237308,Unknown,Unknown,45,5475,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Pectobacterium,no
Family1_KF044309,Unknown,Unknown,46,5486,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,
Family1_KF044310,Unknown,Unknown,46,5486,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,
Family1_KP087957,Methane seep sediment,Sediment/soil,31,6083,,,,,,,
Family1_KY653237,Unknown,Unknown,45,5387,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Pectobacterium,no
Family1_LAAO01000012,Human,Primate,42,6221,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,,
Family1_LT960607,Wastewater,Wastewater,46,5538,,,,,,,
Family1_LVUT01000012,Human,Primate,41,6221,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,,
Family1_MG563770,Wastewater,Wastewater,45,5489,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,
Family1_MG945254,Dog,Other mammal,45,6079,,,,,,,
Family1_MH593835,Abalone tissue,Marine invertebrate,40,5224,,,,,,,
Family1_MH617444,Minnow tissue,Marine fish,46,5452,,,,,,,
Family1_MH622942,Red snapper,Marine fish,43,5707,,,,,,,
Family1_MH649026,Red snapper,Marine fish,51,5066,,,,,,,
Family1_MK629525,Wastewater,Wastewater,47,5490,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,
Family1_MK629526,Wastewater,Wastewater,47,5342,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,
Family1_MK629527,Wastewater,Wastewater,44,6090,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,
Family1_MK629529,Wastewater,Wastewater,47,5494,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Pectobacterium,no
Family1_MK791318,Wastewater,Wastewater,47,5484,,,,,,,
Family1_MN850599,Wastewater,Wastewater,47,5493,,,,,,,
Family1_NC_001330,Unknown,Unknown,45,6087,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Pectobacterium,no
Family1_NC_001422,Unknown,Unknown,45,5386,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,
Family1_NC_001730,Unknown,Unknown,45,6089,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,
Family1_NC_007817,Unknown,Unknown,46,5486,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,
Family1_NC_007821,Unknown,Unknown,45,6068,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,
Family1_NC_007856,Unknown,Unknown,45,5486,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,
Family1_NC_012868,Unknown,Unknown,45,6094,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,
Family1_Pequenovirus_KP087943,Methane seep sediment,Sediment/soil,48,6172,,,,,,,
Family1_Pequenovirus_KP087947,Methane seep sediment,Sediment/soil,47,5713,,,,,,,
Family1_Pequenovirus_KP087950,Methane seep sediment,Sediment/soil,44,6438,,,,,,,
Family1_Pequenovirus_KP087951,Methane seep sediment,Sediment/soil,53,5256,,,,,,,
Family1_Pequenovirus_MH572352,Ciona robusta,Marine invertebrate,54,5090,,,,,,,
Family1_Pequenovirus_MH572489,Ciona robusta,Marine invertebrate,53,5339,,,,,,,
Family1_Pequenovirus_NC_026665,Methane seep sediment,Sediment/soil,31,6083,,,,,,,
Family1_Shkoporov_5441,Human,Primate,45,5441,,,,,,,
Family1_X60323,Unknown,Unknown,45,6089,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,
Family10_associated_MG945262,Pig,Other mammal,39,6049,,,,,,,
Family10_associated_MG945305,Yak,Other mammal,39,5882,,,,,,,
Family10_associated_MG945636,Cow,Other mammal,36,6002,,,,,,,
Family10_associated_MK496712,Capybara,Other mammal,38,5318,,,,,,,
Family10_associated_MK496787,Capybara,Other mammal,39,5291,,,,,,,
Family10_JAAVEW010000012_Barnesiella,Bank vole,Other mammal,41,7059,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnensiella,,
Family10_MG945168,Pig,Other mammal,45,4812,,,,,,,
Family10_MG945173,Pig,Other mammal,36,5216,,,,,,,
Family10_MG945216,Yak,Other mammal,44,6327,,,,,,,
Family10_MG945218,Pig,Other mammal,40,5410,,,,,,,
Family10_MG945235,Pig,Other mammal,41,5636,,,,,,,
Family10_MG945249,Cow,Other mammal,36,5312,,,,,,,
Family10_MG945336,Pig,Other mammal,35,5831,,,,,,,
Family10_MG945362,Yak,Other mammal,35,5585,,,,,,,
Family10_MG945368,Pig,Other mammal,37,5541,,,,,,,
Family10_MG945392,Pig,Other mammal,41,5634,,,,,,,
Family10_MG945400,Yak,Other mammal,43,6196,,,,,,,
Family10_MG945442,Yak,Other mammal,39,6285,,,,,,,
Family10_MG945443,Yak,Other mammal,39,6208,,,,,,,
Family10_MG945483,Pig,Other mammal,39,5962,,,,,,,
Family10_MG945772,Yak,Other mammal,35,6363,,,,,,,
Family10_MG945875,Pig,Other mammal,34,5246,,,,,,,
Family10_MG945880,Pig,Other mammal,42,5411,,,,,,,
Family10_MG945887,Pig,Other mammal,39,5809,,,,,,,
Family10_MG945890,Pig,Other mammal,37,5193,,,,,,,
Family10_MG945904,Cow,Other mammal,38,5928,,,,,,,
Family10_MH617318,Macaque,Primate,37,6061,,,,,,,
Family10_MK496679,Capybara,Other mammal,35,5881,,,,,,,
Family10_MK496680,Capybara,Other mammal,33,5585,,,,,,,
Family10_MK496681,Capybara,Other mammal,36,6415,,,,,,,
Family10_MK496687,Capybara,Other mammal,38,6242,,,,,,,
Family10_MK496691,Capybara,Other mammal,34,5986,,,,,,,
Family10_MK496697,Capybara,Other mammal,44,5767,,,,,,,
