NetworkID,Genome,Subgroup
13085,0_AAIAHK010000044_Campylobacter_jejuni_weight,0_AAIAHK010000044_Campylobacter_jejuni_weight
13086,0_ADEG01000016_Prevotella_buccalis_ATCC_35310_weight,0_ADEG01000016_Prevotella_buccalis_ATCC_35310_weight
13087,0_AWGW01000011_Prevotella_salivae_F0493_weight,0_AWGW01000011_Prevotella_salivae_F0493_weight
13088,0_AYPZ01000002_Rhodobacter_capsulatus_YW2_weight,0_AYPZ01000002_Rhodobacter_capsulatus_YW2_weight
13089,0_AYPZ01000005_Rhodobacter_capsulatus_YW2_weight,0_AYPZ01000005_Rhodobacter_capsulatus_YW2_weight
13090,0_Alex_ape_weight,0_Alex_ape_weight
13091,0_Alpavirinae_MH572525,0_Alpavirinae_MH572525
13092,0_Alpavirinae_MH572525_-weight,0_Alpavirinae_MH572525_-weight
13093,0_Alpavirinae_MH572526,0_Alpavirinae_MH572526
13094,0_Alpavirinae_MH572526_-weight,0_Alpavirinae_MH572526_-weight
13095,0_Amyovirinae_JX904102_1,0_Amyovirinae_JX904102_1
13096,0_Amyovirinae_JX904102_1_-weight,0_Amyovirinae_JX904102_1_-weight
13097,0_Amyovirinae_MG214764,0_Amyovirinae_JX904102_1
13098,0_Aravirinae_KM589500,0_Aravirinae_KM589500
13099,0_Aravirinae_KM589500_-weight,0_Aravirinae_KM589500
13100,0_Aravirinae_KM589503,0_Aravirinae_KM589503
13101,0_Aravirinae_KM589503_-weight,0_Aravirinae_KM589503_-weight
13102,0_Aravirinae_KM589504,0_Aravirinae_KM589504
13103,0_Aravirinae_KM589504_-weight,0_Aravirinae_KM589504_-weight
13104,0_Aravirinae_KM589505,0_Aravirinae_KM589505
13105,0_Aravirinae_KM589505_-weight,0_Aravirinae_KM589505
13106,0_Aravirinae_KM589509,0_Aravirinae_KM589504
13107,0_Aravirinae_KM589509_-weight,0_Aravirinae_KM589509_-weight
13108,0_Aravirinae_KM589510,0_Aravirinae_KM589504
13109,0_Aravirinae_KM589510_-weight,0_Aravirinae_KM589510_-weight
13110,0_Aravirinae_KM589512,0_Aravirinae_KM589504
13111,0_Aravirinae_KM589512_-weight,0_Aravirinae_KM589512_-weight
13112,0_BGZO01000070_Candidatus_Margulisbacteria_bacterium_weight,0_BGZO01000070_Candidatus_Margulisbacteria_bacterium_weight
13113,0_BGZO01000070_Candidatus_Termititenax_persephonae_weight,0_BGZO01000070_Candidatus_Margulisbacteria_bacterium_weight
13114,0_Bullavirinae_NC_001420,0_Bullavirinae_NC_001420
13115,0_Bullavirinae_NC_001420_-weight,0_AYPZ01000005_Rhodobacter_capsulatus_YW2_weight
13116,0_CAIY01000022_Richelia_intracellularis_HH01_fragment_weight,0_CAIY01000022_Richelia_intracellularis_HH01_fragment_weight
13117,0_CCAB010000112_Elizabethkingia_anophelis_fragment_weight,0_CCAB010000112_Elizabethkingia_anophelis_fragment_weight
13118,0_CGM_MH572490,0_CGM_MH572490
13119,0_CGM_MH572490_-weight,0_CGM_MH572490_-weight
13120,0_CGM_MH572491,0_CGM_MH572491
13121,0_CGM_MH572491_-weight,0_CGM_MH572491_-weight
13122,0_CGM_MH572517,0_CGM_MH572517
13123,0_CGM_MH572517_-weight,0_CGM_MH572517_-weight
13124,0_CGM_MH572518,0_CGM_MH572517
13125,0_CGM_MH572518_-weight,0_CGM_MH572517_-weight
13126,0_CGM_MH572519,0_CGM_MH572517
13127,0_CGM_MH572519_-weight,0_CGM_MH572519_-weight
13128,0_CGM_MH572520,0_CGM_MH572517
13129,0_CGM_MH572520_-weight,0_CGM_MH572520_-weight
13130,0_CP014339_Elizabethkingia_anophelis_weight,0_CCAB010000112_Elizabethkingia_anophelis_fragment_weight
13131,0_CP016373_Elizabethkingia_anophelis_weight,0_CCAB010000112_Elizabethkingia_anophelis_fragment_weight
13132,0_CP019307_Phaeobacter_inhibens_weight,0_CP019307_Phaeobacter_inhibens_weight
13133,0_CP032923_Agrobacterium_tumefaciens_weight,0_CP032923_Agrobacterium_tumefaciens_weight
13134,0_CP034455_Mesorhizobium_sp._M1A.F.Ca.IN.022.06.1.1_weight,0_CGM_MH572490
13135,0_CP039888_Agrobacterium_tumefaciens_weight,0_CP032923_Agrobacterium_tumefaciens_weight
13136,0_CP041230_Bacteroides_xylanisolvens_weight,0_CP041230_Bacteroides_xylanisolvens_weight
13137,0_CZAG01000003_Parabacteroides_merdae_weight,0_CZAG01000003_Parabacteroides_merdae_weight
13138,0_CZAI01000003_Bacteroides_caccae_weight,0_CP041230_Bacteroides_xylanisolvens_weight
13139,0_CZBL01000008_Bacteroides_caccae_weight,0_CP041230_Bacteroides_xylanisolvens_weight
13140,0_DABS01000177_Candidatus_Gastranaerophilales_bacterium_HUM_21_weight,0_DABS01000177_Candidatus_Gastranaerophilales_bacterium_HUM_21_weight
13141,0_DABS01000177_Gastranaerophilales_weight,0_DABS01000177_Candidatus_Gastranaerophilales_bacterium_HUM_21_weight
13142,0_DMOY01000351_Nitrospira_sp._weight,0_DMOY01000351_Nitrospira_sp._weight
13143,0_DNPJ01000043_Firmicutes_bacterium_weight,0_DNPJ01000043_Firmicutes_bacterium_weight
13144,0_DPDI01000004_Parabacteroides_distasonis_weight,0_CZAG01000003_Parabacteroides_merdae_weight
13145,0_DPOT01000019_Parabacteroides_distasonis_weight,0_CZAG01000003_Parabacteroides_merdae_weight
13146,0_DRRF01000562_Methylophaga_sp._fragment_weight,0_DRRF01000562_Methylophaga_sp._fragment_weight
13147,0_DS990119_Bacteroides_plebeius_DSM_17135_weight,0_DS990119_Bacteroides_plebeius_DSM_17135_weight
13148,0_DS995510_Bacteroides_eggerthii_DSM_20697_weight,0_Alex_ape_weight
13149,0_EQ973357_Bacteroides_sp._2_2_4_weight,0_Alex_ape_weight
13150,0_FMFB01000002_uncultured_Bacteroides_sp._weight,0_CP041230_Bacteroides_xylanisolvens_weight
13151,0_FMGL01000009_Flavonifractor_weight,0_FMGL01000009_Flavonifractor_weight
13152,0_FNXG01000002_Paracoccus_alkenifer_weight,0_AYPZ01000002_Rhodobacter_capsulatus_YW2_weight
13153,0_FOAL01000001_Bacteroides_thetaiotaomicron_weight,0_Alex_ape_weight
13154,0_FOBY01000005_Bacteroides_sp._AR20_weight,0_Alex_ape_weight
13155,0_FOFL01000005_Devosia_sp._YR412_weight,0_FOFL01000005_Devosia_sp._YR412_weight
13156,0_FOXE01000003_Oscillibacter_sp._PC13_weight,0_FOXE01000003_Oscillibacter_sp._PC13_weight
13157,0_FPMH01000012_Chlamydia_abortus_weight,0_FPMH01000012_Chlamydia_abortus_weight
13158,0_FPMJ01000014_Chlamydia_abortus_weight,0_FPMH01000012_Chlamydia_abortus_weight
13159,0_FQUC01000005_Dysgonomonas_macrotermitis_weight,0_FQUC01000005_Dysgonomonas_macrotermitis_weight
13160,0_FR888562_Clostridium_sp._CAG:306_weight,0_FR888562_Clostridium_sp._CAG:306_weight
13161,0_FR893014_Parabacteroides_merdae_CAG:48_weight,0_CZAG01000003_Parabacteroides_merdae_weight
13162,0_FXLX01000046_uncultured_SUP05_cluster_bacterium_weight,0_FXLX01000046_uncultured_SUP05_cluster_bacterium_weight
13163,0_GG704780_Prevotella_bergensis_DSM_17361_weight,0_GG704780_Prevotella_bergensis_DSM_17361_weight
13164,0_GG704781_Prevotella_bergensis_DSM_17361_weight,0_GG704780_Prevotella_bergensis_DSM_17361_weight
13165,0_GG740072_Prevotella_sp._oral_taxon_317_str._F0108_weight,0_GG740072_Prevotella_sp._oral_taxon_317_str._F0108_weight
13166,0_GL872283_Prevotella_multiformis_DSM_16608_weight,0_GL872283_Prevotella_multiformis_DSM_16608_weight
13167,0_GroupD_MH572353,0_GroupD_MH572353
13168,0_GroupD_MH572353_-weight,0_GroupD_MH572353_-weight
13169,0_GroupD_MH572354,0_GroupD_MH572354
13170,0_GroupD_MH572354_-weight,0_GroupD_MH572354_-weight
13171,0_GroupD_MH572355,0_GroupD_MH572353
13172,0_GroupD_MH572355_-weight,0_GroupD_MH572355_-weight
13173,0_GroupD_MH572356,0_GroupD_MH572353
13174,0_GroupD_MH572356_-weight,0_GroupD_MH572354_-weight
13175,0_GroupD_MH572357,0_GroupD_MH572357
13176,0_GroupD_MH572357_-weight,0_GroupD_MH572354_-weight
13177,0_GroupD_MH572358,0_GroupD_MH572353
13178,0_GroupD_MH572358_-weight,0_GroupD_MH572358_-weight
13179,0_GroupD_MH572359,0_GroupD_MH572353
13180,0_GroupD_MH572359_-weight,0_GroupD_MH572359_-weight
13181,0_HF992559_Prevotella_sp._CAG:1185_weight,0_HF992559_Prevotella_sp._CAG:1185_weight
13182,0_HF997618_Alistipes_finegoldii_CAG:68_weight,0_HF997618_Alistipes_finegoldii_CAG:68_weight
13183,0_JH976490_Parabacteroides_distasonis_CL09T03C24_weight,0_CZAG01000003_Parabacteroides_merdae_weight
13184,0_JNHP01000065_Parabacteroides_distasonis_str._3999B_T(B)_4_weight,0_CZAG01000003_Parabacteroides_merdae_weight
13185,0_JNHP01000073_Parabacteroides_distasonis_str._3999B_T(B)_4_weight,0_CZAG01000003_Parabacteroides_merdae_weight
13186,0_JNHP01000132_Parabacteroides_distasonis_str._3999B_T(B)_4_weight,0_CZAG01000003_Parabacteroides_merdae_weight
13187,0_JNHP01000154_Parabacteroides_distasonis_str._3999B_T(B)_4_weight,0_CZAG01000003_Parabacteroides_merdae_weight
13188,0_JNHQ01000057_Parabacteroides_distasonis_str._3999B_T(B)_6_fragment_weight,0_CZAG01000003_Parabacteroides_merdae_weight
13189,0_JNHQ01000100_Parabacteroides_distasonis_str._3999B_T(B)_6_weight,0_CZAG01000003_Parabacteroides_merdae_weight
13190,0_JNHQ01000161_Parabacteroides_distasonis_str._3999B_T(B)_6_weight,0_CZAG01000003_Parabacteroides_merdae_weight
13191,0_JPYQ01000001_Rhizobium_sp._YS-1r_weight,0_JPYQ01000001_Rhizobium_sp._YS-1r_weight
13192,0_JQIR01000112_Sulfurovum_sp._FS06-10_weight,0_JQIR01000112_Sulfurovum_sp._FS06-10_weight
13193,0_JRNN01000063_Prevotella_buccalis_DNF00853_weight,0_ADEG01000016_Prevotella_buccalis_ATCC_35310_weight
13194,0_JRNU01000025_Prevotella_amnii_DNF00058_weight,0_JRNU01000025_Prevotella_amnii_DNF00058_weight
13195,0_JYFU01000029_Rhizobium_sp._UR51a_weight,0_CP032923_Agrobacterium_tumefaciens_weight
13196,0_JZEY01000054_Devosia_chinhatensis_weight,0_JZEY01000054_Devosia_chinhatensis_weight
